CODI_PROVINCIA;PROVINCIA;CODI_MUNICIPI;MUNICIPI;ESTACIO;CODI_CONTAMINANT;ANY;MES;DIA;H12;V12
8;Barcelona;19;Barcelona;4;7;2024;3;1;5;V
8;Barcelona;19;Barcelona;4;7;2024;3;2;6;V
8;Barcelona;19;Barcelona;4;7;2024;3;3;3;V
8;Barcelona;19;Barcelona;4;7;2024;3;4;5;V
8;Barcelona;19;Barcelona;4;7;2024;3;5;5;V
8;Barcelona;19;Barcelona;4;7;2024;3;6;5;V
8;Barcelona;19;Barcelona;4;7;2024;3;7;3;V
8;Barcelona;19;Barcelona;4;7;2024;3;8;3;V
8;Barcelona;19;Barcelona;4;7;2024;3;9;4;V
8;Barcelona;19;Barcelona;4;7;2024;3;10;1;V
8;Barcelona;19;Barcelona;4;7;2024;3;11;3;V
8;Barcelona;19;Barcelona;4;7;2024;3;12;2;V
8;Barcelona;19;Barcelona;4;7;2024;3;13;23;V
8;Barcelona;19;Barcelona;4;7;2024;3;14;8;V
8;Barcelona;19;Barcelona;4;7;2024;3;15;2;V
8;Barcelona;19;Barcelona;4;7;2024;3;16;14;V
8;Barcelona;19;Barcelona;4;7;2024;3;17;5;V
8;Barcelona;19;Barcelona;4;7;2024;3;18;2;V
8;Barcelona;19;Barcelona;4;7;2024;3;19;13;V
8;Barcelona;19;Barcelona;4;7;2024;3;20;2;V
8;Barcelona;19;Barcelona;4;7;2024;3;21;2;V
8;Barcelona;19;Barcelona;4;7;2024;3;22;32;V
8;Barcelona;19;Barcelona;4;7;2024;3;23;5;V
8;Barcelona;19;Barcelona;4;7;2024;3;24;1;V
8;Barcelona;19;Barcelona;4;7;2024;3;25;3;V
8;Barcelona;19;Barcelona;4;7;2024;3;26;6;V
8;Barcelona;19;Barcelona;4;7;2024;3;27;4;V
8;Barcelona;19;Barcelona;4;7;2024;3;28;2;V
8;Barcelona;19;Barcelona;4;7;2024;3;29;4;V
8;Barcelona;19;Barcelona;4;7;2024;3;30;3;V
8;Barcelona;19;Barcelona;4;7;2024;3;31;2;V
8;Barcelona;19;Barcelona;4;8;2024;3;1;15;V
8;Barcelona;19;Barcelona;4;8;2024;3;2;28;V
8;Barcelona;19;Barcelona;4;8;2024;3;3;18;V
8;Barcelona;19;Barcelona;4;8;2024;3;4;17;V
8;Barcelona;19;Barcelona;4;8;2024;3;5;15;V
8;Barcelona;19;Barcelona;4;8;2024;3;6;18;V
8;Barcelona;19;Barcelona;4;8;2024;3;7;16;V
8;Barcelona;19;Barcelona;4;8;2024;3;8;14;V
8;Barcelona;19;Barcelona;4;8;2024;3;9;13;V
8;Barcelona;19;Barcelona;4;8;2024;3;10;7;V
8;Barcelona;19;Barcelona;4;8;2024;3;11;10;V
8;Barcelona;19;Barcelona;4;8;2024;3;12;10;V
8;Barcelona;19;Barcelona;4;8;2024;3;13;49;V
8;Barcelona;19;Barcelona;4;8;2024;3;14;29;V
8;Barcelona;19;Barcelona;4;8;2024;3;15;8;V
8;Barcelona;19;Barcelona;4;8;2024;3;16;42;V
8;Barcelona;19;Barcelona;4;8;2024;3;17;31;V
8;Barcelona;19;Barcelona;4;8;2024;3;18;11;V
8;Barcelona;19;Barcelona;4;8;2024;3;19;34;V
8;Barcelona;19;Barcelona;4;8;2024;3;20;8;V
8;Barcelona;19;Barcelona;4;8;2024;3;21;8;V
8;Barcelona;19;Barcelona;4;8;2024;3;22;95;V
8;Barcelona;19;Barcelona;4;8;2024;3;23;25;V
8;Barcelona;19;Barcelona;4;8;2024;3;24;6;V
8;Barcelona;19;Barcelona;4;8;2024;3;25;21;V
8;Barcelona;19;Barcelona;4;8;2024;3;26;33;V
8;Barcelona;19;Barcelona;4;8;2024;3;27;14;V
8;Barcelona;19;Barcelona;4;8;2024;3;28;10;V
8;Barcelona;19;Barcelona;4;8;2024;3;29;15;V
8;Barcelona;19;Barcelona;4;8;2024;3;30;14;V
8;Barcelona;19;Barcelona;4;8;2024;3;31;8;V
8;Barcelona;19;Barcelona;4;10;2024;3;1;12;V
8;Barcelona;19;Barcelona;4;10;2024;3;2;27;V
8;Barcelona;19;Barcelona;4;10;2024;3;3;9;V
8;Barcelona;19;Barcelona;4;10;2024;3;4;13;V
8;Barcelona;19;Barcelona;4;10;2024;3;5;15;V
8;Barcelona;19;Barcelona;4;10;2024;3;6;28;V
8;Barcelona;19;Barcelona;4;10;2024;3;7;17;V
8;Barcelona;19;Barcelona;4;10;2024;3;8;7;V
8;Barcelona;19;Barcelona;4;10;2024;3;9;28;V
8;Barcelona;19;Barcelona;4;10;2024;3;10;15;V
8;Barcelona;19;Barcelona;4;10;2024;3;11;11;V
8;Barcelona;19;Barcelona;4;10;2024;3;12;19;V
8;Barcelona;19;Barcelona;4;10;2024;3;13;38;V
8;Barcelona;19;Barcelona;4;10;2024;3;14;31;V
8;Barcelona;19;Barcelona;4;10;2024;3;15;24;V
8;Barcelona;19;Barcelona;4;10;2024;3;16;38;V
8;Barcelona;19;Barcelona;4;10;2024;3;17;38;V
8;Barcelona;19;Barcelona;4;10;2024;3;18;16;V
8;Barcelona;19;Barcelona;4;10;2024;3;19;29;V
8;Barcelona;19;Barcelona;4;10;2024;3;20;14;V
8;Barcelona;19;Barcelona;4;10;2024;3;21;21;V
8;Barcelona;19;Barcelona;4;10;2024;3;22;96;V
8;Barcelona;19;Barcelona;4;10;2024;3;23;33;V
8;Barcelona;19;Barcelona;4;10;2024;3;24;18;V
8;Barcelona;19;Barcelona;4;10;2024;3;25;13;V
8;Barcelona;19;Barcelona;4;10;2024;3;26;19;V
8;Barcelona;19;Barcelona;4;10;2024;3;27;10;V
8;Barcelona;19;Barcelona;4;10;2024;3;28;14;V
8;Barcelona;19;Barcelona;4;10;2024;3;29;43;V
8;Barcelona;19;Barcelona;4;10;2024;3;30;21;V
8;Barcelona;19;Barcelona;4;10;2024;3;31;13;V
8;Barcelona;19;Barcelona;4;12;2024;3;1;21;V
8;Barcelona;19;Barcelona;4;12;2024;3;2;37;V
8;Barcelona;19;Barcelona;4;12;2024;3;3;24;V
8;Barcelona;19;Barcelona;4;12;2024;3;4;23;V
8;Barcelona;19;Barcelona;4;12;2024;3;5;24;V
8;Barcelona;19;Barcelona;4;12;2024;3;6;25;V
8;Barcelona;19;Barcelona;4;12;2024;3;7;20;V
8;Barcelona;19;Barcelona;4;12;2024;3;8;19;V
8;Barcelona;19;Barcelona;4;12;2024;3;9;19;V
8;Barcelona;19;Barcelona;4;12;2024;3;10;9;V
8;Barcelona;19;Barcelona;4;12;2024;3;11;14;V
8;Barcelona;19;Barcelona;4;12;2024;3;12;13;V
8;Barcelona;19;Barcelona;4;12;2024;3;13;84;V
8;Barcelona;19;Barcelona;4;12;2024;3;14;41;V
8;Barcelona;19;Barcelona;4;12;2024;3;15;11;V
8;Barcelona;19;Barcelona;4;12;2024;3;16;64;V
8;Barcelona;19;Barcelona;4;12;2024;3;17;38;V
8;Barcelona;19;Barcelona;4;12;2024;3;18;14;V
8;Barcelona;19;Barcelona;4;12;2024;3;19;53;V
8;Barcelona;19;Barcelona;4;12;2024;3;20;10;V
8;Barcelona;19;Barcelona;4;12;2024;3;21;10;V
8;Barcelona;19;Barcelona;4;12;2024;3;22;144;V
8;Barcelona;19;Barcelona;4;12;2024;3;23;33;V
8;Barcelona;19;Barcelona;4;12;2024;3;24;8;V
8;Barcelona;19;Barcelona;4;12;2024;3;25;25;V
8;Barcelona;19;Barcelona;4;12;2024;3;26;43;V
8;Barcelona;19;Barcelona;4;12;2024;3;27;20;V
8;Barcelona;19;Barcelona;4;12;2024;3;28;14;V
8;Barcelona;19;Barcelona;4;12;2024;3;29;21;V
8;Barcelona;19;Barcelona;4;12;2024;3;30;19;V
8;Barcelona;19;Barcelona;4;12;2024;3;31;10;V
8;Barcelona;19;Barcelona;42;7;2024;3;1;6;V
8;Barcelona;19;Barcelona;42;7;2024;3;2;2;V
8;Barcelona;19;Barcelona;42;7;2024;3;3;2;V
8;Barcelona;19;Barcelona;42;7;2024;3;4;4;V
8;Barcelona;19;Barcelona;42;7;2024;3;5;4;V
8;Barcelona;19;Barcelona;42;7;2024;3;6;5;V
8;Barcelona;19;Barcelona;42;7;2024;3;7;NA;N
8;Barcelona;19;Barcelona;42;7;2024;3;8;3;V
8;Barcelona;19;Barcelona;42;7;2024;3;9;1;V
8;Barcelona;19;Barcelona;42;7;2024;3;10;1;V
8;Barcelona;19;Barcelona;42;7;2024;3;11;3;V
